OverallQual,GrLivArea,GarageCars,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,ExterQual,Fireplaces,Neighborhood
5,894,2,1972,894,894,0,TA,0,CollgCr
9,2234,3,2008,2216,2234,0,Ex,1,StoneBr
6,1686,2,1980,1686,1686,0,TA,1,NWAmes
8,1360,2,1984,1220,1360,0,Gd,1,StoneBr
8,1935,2,2009,832,832,1103,Gd,0,Somerst
5,1928,0,1916,686,948,980,TA,0,SWISU
5,1078,1,1950,1078,1078,0,TA,0,NAmes
4,1120,2,1961,1040,1120,0,TA,0,Sawyer
9,1856,3,2010,1856,1856,0,Gd,1,StoneBr
7,1922,2,2003,0,495,1427,Gd,1,Edwards
4,1067,2,1950,1067,1067,0,TA,0,Sawyer
4,708,0,1940,420,708,0,Fa,0,BrkSide
5,1392,2,1957,1392,1392,0,TA,1,Sawyer
7,1767,2,1987,1064,1064,703,Gd,1,StoneBr
6,1199,2,1993,1199,1199,0,Gd,0,SawyerW
5,1868,2,1976,780,1088,780,TA,1,NWAmes
8,1337,2,1993,1337,1337,0,Gd,1,StoneBr
5,1576,1,1928,1042,1042,534,TA,1,BrkSide
6,1392,1,1977,689,689,703,TA,0,CollgCr
6,1756,2,1996,872,888,868,Gd,0,Timber
7,1886,2,1998,930,956,930,Gd,1,Gilbert
5,1086,2,1966,1024,1086,0,TA,1,NAmes
7,1501,2,1999,744,757,744,TA,0,Somerst
6,1640,2,2004,798,798,842,Gd,0,SawyerW
8,2263,2,1998,1141,1165,1098,Gd,1,NoRidge
7,1358,2,2009,1358,1358,0,Gd,1,NridgHt
5,1142,2,1976,1142,1142,0,TA,1,MeadowV
5,1052,1,1968,1052,1052,0,TA,0,NAmes
4,630,0,1972,630,630,0,TA,0,MeadowV
9,2822,3,2008,1734,1734,1088,Ex,1,NridgHt
2,800,0,1936,264,800,0,Fa,1,BrkSide
5,1040,1,1965,1040,1040,0,TA,0,Sawyer
7,1223,2,2005,600,520,623,Gd,0,Somerst
5,1360,2,1955,384,1360,0,TA,1,NAmes
5,2136,2,1951,2136,2136,0,TA,0,NAmes
7,3082,2,1920,824,1687,998,TA,2,SWISU
6,1595,1,1940,940,1192,403,TA,2,SWISU
4,864,0,1971,864,864,0,TA,1,NAmes
7,1786,2,2001,920,920,866,Gd,1,CollgCr
8,2392,3,1997,1396,1407,985,Gd,1,NoRidge
8,2704,2,1972,1952,2000,704,Gd,3,NAmes
8,1636,3,2006,1623,1636,0,Gd,1,Somerst
7,1442,2,1990,1424,1442,0,TA,0,Gilbert
4,1344,0,1970,546,798,546,TA,1,MeadowV
3,720,1,1949,0,720,0,TA,0,BrkSide
6,1993,2,1971,825,1097,896,TA,1,NWAmes
6,1688,2,1997,616,616,1072,TA,0,ClearCr
5,1002,2,1970,1002,1002,0,TA,0,NAmes
7,1708,2,2004,976,976,732,Gd,0,Edwards
5,1252,2,1908,504,936,316,TA,0,BrkSide
7,1431,2,1999,1431,1431,0,Gd,0,CollgCr
5,773,1,1953,773,773,0,TA,0,NAmes
5,1056,1,1968,1056,1056,0,TA,1,NAmes
5,1389,2,1974,1389,1389,0,TA,1,Mitchel
6,1493,2,1997,1478,1493,0,TA,1,CollgCr
7,2554,2,1890,718,1576,978,TA,0,OldTown
6,2345,2,1932,952,1170,1175,TA,1,Crawfor
5,2138,2,1898,849,1075,1063,TA,0,OldTown
5,1134,1,1940,756,756,378,TA,0,Edwards
7,1614,3,2005,1614,1614,0,Gd,0,CollgCr
5,1140,0,2006,1140,1140,0,TA,0,Mitchel
8,2576,3,2006,1234,1264,1312,Ex,1,StoneBr
5,1728,2,1976,1728,1728,0,TA,0,Mitchel
6,1548,2,1976,804,804,744,TA,1,NPkVill
5,1221,1,1924,784,949,272,TA,0,Edwards
6,838,1,1918,816,838,0,TA,0,BrkSide
7,1506,2,2005,1362,1506,0,Gd,1,Blmngtn
6,2108,2,1935,1127,1236,872,TA,2,Edwards
6,1224,2,1999,1224,1224,0,TA,0,Mitchel
8,1788,2,2001,1753,1788,0,Gd,1,CollgCr
4,1040,2,1949,0,1040,0,TA,0,NAmes
7,1301,2,2006,1293,1301,0,Gd,1,Somerst
5,1728,2,1965,1728,1728,0,TA,0,NAmes
6,1261,2,1958,1261,1261,0,TA,1,NAmes
5,1268,1,1977,1268,1268,0,TA,0,CollgCr
5,988,2,1961,988,988,0,TA,0,Sawyer
8,1517,2,1929,792,792,725,TA,2,Crawfor
6,1651,2,1986,1606,1651,0,TA,1,Timber
5,1302,1,1972,630,630,672,TA,0,BrDale
7,1601,2,1978,1271,1601,0,TA,1,NWAmes
6,1216,2,1998,1216,1216,0,TA,0,Mitchel
5,1486,2,1964,1486,1486,0,TA,0,Edwards
5,1144,2,1961,1144,1144,0,TA,0,NAmes
6,1750,1,1940,983,983,767,TA,0,Mitchel
8,1694,2,2004,1686,1694,0,Gd,1,Somerst
7,2110,2,1968,2110,2110,0,Gd,2,NAmes
8,1484,2,2006,1476,1484,0,Gd,1,Timber
5,835,1,1920,458,835,0,TA,0,Edwards
5,935,1,1965,935,935,0,TA,0,Sawyer
4,901,1,1954,901,901,0,TA,0,OldTown
8,1992,2,2003,1053,1053,939,Gd,1,Somerst
8,1768,2,2007,866,866,902,Gd,0,CollgCr
5,965,1,1965,828,965,0,TA,0,SawyerW
5,1301,2,1924,1145,1301,0,TA,0,BrkSide
7,3222,3,1990,1673,1699,1523,TA,2,SawyerW
5,1696,1,1962,1140,1696,0,TA,1,Sawyer
7,2696,3,2007,1264,1282,1414,Gd,1,CollgCr
4,605,0,1920,528,605,0,TA,0,Edwards
7,3493,3,1880,1470,1675,1818,TA,1,OldTown
5,1838,2,2005,732,734,1104,Gd,1,Gilbert
5,1339,1,1958,1029,1339,0,TA,0,NAmes
7,1644,2,1989,1518,1644,0,Gd,1,SawyerW
7,1349,2,2000,1349,1349,0,TA,0,SawyerW
7,2090,2,1973,1107,1107,983,TA,2,NWAmes
10,1718,3,2006,1700,1718,0,Ex,1,NridgHt
5,1539,2,1904,650,958,581,TA,1,OldTown
5,1572,3,1963,1572,1572,0,TA,2,Timber
7,1453,2,1986,1453,1453,0,TA,1,ClearCr
5,1048,1,1956,1048,1048,0,TA,0,NAmes
6,1056,2,1980,1056,1056,0,TA,0,OldTown
8,2630,3,1998,1470,1470,1160,Gd,1,NoRidge
5,1365,2,1970,765,765,600,TA,0,BrDale
6,813,1,1930,813,813,0,TA,0,OldTown
6,2526,1,1916,714,1664,862,TA,1,OldTown
7,1352,2,2006,1352,1352,0,Gd,1,Somerst
4,968,1,1927,656,968,0,TA,0,OldTown
7,1689,3,2007,1689,1689,0,Gd,0,Somerst
6,1158,1,1929,862,950,208,TA,1,BrkSide
7,1564,1,1941,704,860,704,TA,1,Crawfor
8,1713,3,2004,1713,1713,0,Gd,1,NridgHt
5,988,2,1954,988,988,0,TA,0,Mitchel
5,1264,2,1960,1268,1264,0,TA,2,NAmes
7,2060,2,1999,992,1022,1038,Gd,1,Gilbert
7,1557,2,2003,1374,1557,0,Gd,1,Blmngtn
7,1768,2,1914,880,880,888,TA,2,OldTown
5,1600,1,1957,1484,1600,0,TA,2,NAmes
6,2030,2,1976,848,1118,912,TA,1,NWAmes
8,1228,2,1988,1228,1228,0,Gd,1,StoneBr
1,334,0,1946,0,334,0,Fa,0,BrkSide
7,2090,2,1984,1190,1190,900,Gd,1,StoneBr
8,2524,2,1981,2524,2524,0,Gd,1,NWAmes
6,1523,2,1976,1193,1523,0,TA,1,NWAmes
5,1647,2,1977,1430,1647,0,TA,1,Crawfor
5,1216,1,1947,832,832,384,TA,0,NAmes
6,1578,1,1941,806,958,620,TA,2,NAmes
6,1478,2,1960,1478,1478,0,TA,2,NAmes
8,2622,2,1994,1463,1500,1122,Gd,2,NoRidge
5,886,1,1938,190,886,0,TA,0,OldTown
8,1646,2,2004,1594,1646,0,Gd,1,Crawfor
7,1654,3,2002,1654,1654,0,Gd,0,CollgCr
7,2730,2,1986,1502,1553,1177,Gd,1,SawyerW
5,1276,1,1958,1276,1276,0,TA,0,Edwards
5,1382,2,1941,720,854,0,TA,0,OldTown
7,1434,2,2001,1454,1434,0,Gd,1,SawyerW
6,1381,2,1972,1161,1381,0,TA,1,NWAmes
7,1894,2,2002,817,824,1070,Gd,1,Timber
6,1674,2,1918,1163,1163,511,TA,1,Edwards
5,894,2,1974,864,894,0,TA,1,Sawyer
10,2402,3,2008,3094,2402,0,Ex,2,NridgHt
9,2728,3,2005,1848,1848,880,Ex,2,NridgHt
7,1555,3,2007,1373,1555,0,Gd,1,Blmngtn
8,1939,3,2006,1095,1095,844,Gd,1,Somerst
5,864,1,1972,864,864,0,TA,0,CollgCr
6,987,1,1973,483,483,504,TA,0,BrDale
10,2633,3,2001,2633,2633,0,Ex,2,NoRidge
7,1501,2,1999,1490,1501,0,Gd,0,CollgCr
6,996,2,1992,936,996,0,TA,0,SawyerW
6,1113,1,1976,1143,1113,0,TA,1,Edwards
3,864,0,1914,864,864,0,TA,0,Edwards
6,1679,2,1994,1408,1679,0,TA,1,SawyerW
8,1666,1,1925,588,833,833,TA,1,OldTown
6,1458,2,1999,729,729,729,TA,1,Somerst
5,2126,2,1967,1013,1160,966,TA,0,ClearCr
8,1836,3,2004,1836,1836,0,Gd,1,NridgHt
4,1452,0,1920,736,736,716,TA,0,OldTown
6,1258,1,1939,560,698,560,TA,0,Edwards
8,1456,2,2003,1273,1456,0,Gd,1,Blmngtn
5,1214,1,1967,1214,1214,0,TA,1,NAmes
6,1635,1,1910,485,1001,634,TA,0,OldTown
8,1296,2,2001,1267,1296,0,Gd,0,Timber
5,1505,1,1940,883,988,517,TA,0,BrkSide
7,1200,2,2005,600,520,600,Gd,0,Somerst
7,1533,2,1975,1533,1533,0,TA,2,ClearCr
